,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,입/출력 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,필수 입/출력값,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,경우에 따라 입/출력 여부 달라짐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Job: 수시거래내역조회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,구분,항   목,,,설   명,기관별,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,기관명,,,,산업,,기업,,국민,,수협,,농협,,우리,,스탠다드차타드,,,,신한,,시티,,대구,,부산,,광주,,제주,,전북,,경남,,새마을,,우체국,,하나,,,신협,,K뱅크,,카카오뱅크,산림조합,"우리금융 
저축은행",우리 저축은행,"스마트
저축은행","금화
저축은행","인성
저축은행","안양 
저축은행","바로
저축은행","부림 
저축은행","JT친애 
저축은행","청주 
저축은행","더블 
저축은행","다올 
저축은행","ST
 저축은행","IBK 
저축은행","인천 
저축은행","진주
 저축은행","한국투자 
저축은행","키움YES 
저축은행","민국
 저축은행","모아
 저축은행","OK 
저축은행","상상인 
저축은행","세람 
저축은행","The-K
 저축은행","융창 
저축은행","BNK 
저축은행","하나 
저축은행","DB 
저축은행","KB 
저축은행","푸른 
저축은행","페퍼
저축은행","SBI 
저축은행",,"신한 
저축은행","JT
저축은행","흥국
저축은행","스카이
저축은행",웰컴저축은행,,"NH
저축은행","예가람
저축은행","유안타
저축은행","조은
저축은행","공평
저축은행","삼정
저축은행","안국
저축은행","남양
저축은행","평택
저축은행","한화
저축은행","고려
저축은행","조흥
저축은행","강원
저축은행","구미
저축은행","드림
저축은행","삼일
저축은행","유니온
저축은행","참
저축은행","대한
저축은행","동양
저축은행","삼호
저축은행","세종
저축은행","아산
저축은행","MS
저축은행","애큐온
저축은행","오투
저축은행","대신
저축은행","HB
저축은행",상상인플러스저축은행,"OSB
저축은행"
